,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,top81,top82,top83,top84,top85,top86,top87,top88,top89,top90,top91,top92,top93,top94,top95,top96,top97,top98,top99,top100,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH601916,SH601818,SH601988,SZ000333,SH601618,SH601398,SH600018,SH601995,SH601169,SH601186,SH600016,SH600919,SH600905,SH601939,SH601838,SZ000651,SH601059,SH601881,SH600900,SH600887,SH601298,SH601788,SH600061,SZ000100,SZ000166,SH601377,SH601328,SH601658,SH601607,SZ002142,SH601318,SH600377,SZ000001,SH600795,SH600036,SH600015,SZ000538,SH600941,SZ000895,SH600918,SH601668,SH601236,SH600674,SH601456,SH601985,SZ000776,SH601166,SH601919,SH600999,SH601816,SH600025,SH601229,SH601825,SH601766,SZ001965,SH600030,SH600926,SH601009,SH601077,SH600600,SH601878,SH601058,SH600660,SH601288,SH600519,SH600050,SZ002594,SH601088,SH601688,SZ002236,SH601006,SH600886,SH601066,SH601901,SH601857,SZ002352,SZ001391,SH601728,SZ002230,SH603195,SZ003816,SZ300999,SH600570,SZ300059,SZ000983,SH601021,SH601111,SZ002028,SZ000876,SZ002422,SH601225,SH603369,SH688271,SH600415,SZ002920,,,,,,0.0002498513786122203,-0.017907083,0.03,0.0001898513786122203,1.0001898513786123,0.9820929,1.0001898513786123,0.0
1,2026-06-04,SH601916,SZ000333,SH600919,SH601988,SH601398,SH600905,SH600900,SH601818,SH600018,SH601985,SH600674,SH601169,SH600887,SH601939,SZ000651,SZ000776,SH601328,SZ000100,SH600016,SZ000001,SH601186,SH601995,SH601318,SH600941,SH600377,SH600015,SH601229,SZ000538,SH601919,SH601377,SH601668,SH600036,SH600795,SH601166,SH601607,SH601658,SH601618,SZ000895,SH600030,SH601288,SH600660,SZ000166,SZ002594,SH600061,SZ003816,SZ002142,SH600519,SH601838,SH601298,SH600999,SH601088,SH600600,SH601825,SH601456,SH601006,SH600926,SH601728,SH601236,SH600025,SH601881,SH601009,SH600918,SZ002236,SH600050,SH601077,SH601688,SH601788,SH600886,SH601225,SH601766,SZ001965,SH601901,SH601816,SZ002352,SH601059,SH601878,SZ001391,SH601066,SZ002028,SZ300059,SH601058,SZ000983,SH688271,SH603195,SH600570,SH601021,SZ002625,SZ002920,SH600958,SZ002422,SH601111,SZ002230,SH603369,SH600415,,,,,,,-0.008630824275314808,-0.021441102,0.04,-0.008710824275314808,0.9914773733412999,0.9610358,1.0001898513786123,-0.008710824275314825
2,2026-06-05,SH601916,SH601988,SH601818,SH600919,SH601398,SH600018,SH600900,SZ000333,SH601939,SH601236,SH601328,SH600377,SZ000651,SH600887,SH601377,SH600660,SH600015,SZ000001,SH600016,SH601166,SZ000063,SH601169,SH601088,SH601668,SH601658,SH601838,SH601298,SZ002142,SH600036,SH601186,SH601225,SH600941,SH600999,SH601825,SH601006,SH601009,SH600030,SH600926,SH601607,SH601919,SZ000538,SH600061,SH601618,SH600795,SH600905,SZ000166,SH601985,SH601229,SZ000895,SH601816,SH601077,SH601288,SH600600,SH603195,SH601066,SZ002594,SZ001391,SH600519,SH600050,SH601318,SH601456,SH600674,SH601901,SH601881,SH600918,SH601995,SZ003816,SH601788,SH601766,SZ002236,SZ002422,SH600025,SZ001965,SH601688,SZ000100,SH601728,SH601059,SZ002352,SH601878,SH600958,SH600886,SH603369,SZ000983,SH601058,SH688271,SZ300832,SH601021,SZ300059,SH601111,SZ002230,SH600570,SH600160,SZ002625,,,,,,,,0.0030231059063225985,0.018705249,0.08,0.0028631059063225985,0.9943160780648986,0.9790122,1.0001898513786123,-0.005872658381423805
3,2026-06-08,SH601916,SH600919,SH601818,SH601939,SH601988,SH601166,SH601169,SH600900,SZ000333,SH601398,SH601088,SH601328,SH600377,SH600015,SH600018,SH600036,SZ000001,SH600016,SH601658,SH600887,SZ000651,SZ002142,SH601838,SZ000895,SH600941,SH600926,SH601225,SH601668,SH600999,SH601919,SH601377,SH600660,SZ003816,SH601456,SH600030,SH601006,SH601985,SH601825,SH601816,SH601077,SH601618,SH601607,SZ000538,SH601009,SH601229,SH600905,SH601298,SH600600,SH601318,SH603195,SH601995,SH601066,SH601766,SH600674,SH600050,SZ002236,SZ000166,SH600795,SZ002594,SH600061,SH601998,SH601211,SZ002352,SH600025,SH601788,SH601688,SH601288,SH600886,SH601881,SH601901,SZ001965,SZ001391,SH601878,SZ000100,SH601059,SH601058,SH600958,SZ002422,SH603369,SH688271,SH601728,SZ300832,SH600160,SH601021,SZ002230,SH601111,SZ300059,,,,,,,,,,,,,,0.008008813485503197,-0.011083305,0.01,0.007988813485503198,1.0022594837581962,0.9681615,1.0022594837581962,0.0
4,2026-06-09,SH600919,SH601818,SH601939,SH600900,SZ000333,SH601166,SH601988,SH601328,SH600377,SH601916,SH600036,SZ000001,SH601658,SH600016,SH601225,SH601816,SH601169,SH600018,SH600887,SH601668,SH601377,SH600015,SZ000538,SH601398,SH600941,SH601456,SH600030,SZ002142,SZ000651,SH601006,SZ000895,SH601298,SH600999,SH601229,SH600926,SH601825,SH601607,SH601088,SH601838,SZ003816,SH600600,SH600050,SH601985,SH601009,SH601058,SH603195,SH601618,SZ002236,SZ002352,SH600660,SH601919,SH601688,SH601995,SH601211,SZ000166,SH601998,SH600061,SH600674,SH600905,SH600025,SH601066,SH601288,SH601318,SZ001391,SH601766,SZ001965,SH600795,SH601788,SH601881,SH601077,SZ000100,SZ002594,SH601878,SH601901,SH601021,SH688271,SH600958,SH601728,SH600886,SZ002625,SZ300059,SZ002422,SZ300832,SH600160,SH601111,SZ002230,SZ000425,SH600031,SH601059,,,,,,,,,,,,-0.004326718393713236,-0.005513251,0.04,-0.004406718393713236,0.9978428084558454,0.9628238,1.0022594837581962,-0.0044067183937132525
5,2026-06-10,SH600919,SH601916,SH601818,SH601328,SH600036,SZ000333,SH601166,SZ000001,SH600900,SH601838,SH601398,SH601816,SH601939,SH600015,SH600377,SH601169,SH601988,SH600000,SH600016,SH601658,SH600941,SH600018,SH601229,SZ000538,SH601225,SZ000651,SH600887,SH600999,SH601985,SZ002142,SH603195,SH601298,SH600600,SH600160,SH601058,SZ002422,SH601668,SH600030,SH600660,SZ002352,SH601607,SH601825,SH601009,SH601211,SH601006,SZ002625,SH600926,SH601456,SH601688,SZ002236,SZ003816,SH600050,SH601288,SH601088,SH601186,SH601377,SH600025,SZ002594,SH601995,SH600061,SZ000100,SH601077,SH600674,SZ001965,SH601618,SH601881,SZ000166,SH601766,SH600905,SH601318,SH601066,SZ001391,SH688271,SH601998,SH600795,SH601878,SH601021,SH601788,SH601059,SH600958,SH601728,SH601919,SH600886,SZ002230,SH601111,SH601901,SZ300832,,,,,,,,,,,,,,0.013993711210787296,0.011627674,0.01,0.013973711210787297,1.0117863756949683,0.9740192,1.0117863756949683,0.0
6,2026-06-11,SH600919,SH601328,SH601818,SH600900,SH601916,SZ000333,SH601658,SH601169,SZ000001,SH600036,SH600016,SH601166,SH601816,SH601838,SH601298,SZ002142,SH601009,SH601398,SH600015,SH600000,SH601939,SH601229,SH601988,SH600377,SH600018,SZ000538,SH600600,SH600926,SH603195,SH601985,SH600941,SH601668,SH600887,SH601825,SH600160,SZ002352,SH601225,SH600030,SH601607,SH601211,SH600999,SH601066,SH601058,SH601688,SH600674,SH601456,SH601288,SZ001965,SZ003816,SH601186,SZ000651,SH601006,SH601088,SH601377,SH601766,SH600905,SH601077,SH600050,SH600660,SZ000166,SZ000100,SH601881,SH601878,SH601618,SZ002625,SH601318,SH601021,SZ002236,SH600061,SH601998,SZ002422,SH600019,SH601901,SZ001391,SH600958,SH600025,SH601995,SH601788,SH600795,SH601111,SH601919,SH688271,SH600886,SH601728,SZ002230,SZ300832,SH601059,,,,,,,,,,,,,,-0.002621202729642391,0.023944378,0.02,-0.0026612027296423913,1.0090938070301538,0.9973415,1.0117863756949683,-0.0026612027296424464
7,2026-06-12,SH600900,SH601916,SH601818,SH600919,SH601658,SH600016,SZ000001,SZ000333,SH601985,SH601838,SH601939,SH601169,SH600036,SH600015,SH601328,SH601298,SH601668,SH600018,SH601816,SH600674,SH601229,SH600600,SH601166,SH601688,SH601825,SH600887,SH601988,SZ000651,SH601009,SH601607,SH600999,SH601225,SZ002142,SZ002352,SH600377,SH601398,SH600926,SH603195,SH600941,SZ000538,SH601211,SH600000,SH601377,SH601766,SZ000776,SH601186,SH601456,SZ001965,SH601066,SH600660,SH600050,SZ000166,SH600030,SH600061,SH601288,SH601077,SH600905,SH601006,SZ002236,SZ002625,SZ002422,SH601088,SH601788,SH601881,SH600019,SH601021,SH601058,SZ000100,SH601878,SH600886,SH601728,SH601901,SH601318,SH601995,SH600029,SH601998,SH601618,SH600025,SZ001391,SH600958,SH688271,SH601919,SZ300832,SH600795,SZ003816,SH601111,SZ300999,SH601059,SH603369,,,,,,,,,,,,-0.010490531101822853,-0.0015291572,0.01,-0.010510531101822852,0.9984876951867065,0.9958164,1.0117863756949683,-0.013143763177407161
8,2026-06-15,SH601916,SH601818,SH600900,SH600018,SH601985,SH600016,SH600919,SH601169,SH600015,SH601668,SH601838,SH601939,SH600036,SH601688,SZ000001,SH600887,SH601988,SH601658,SH601607,SH601328,SH600999,SH601186,SH601398,SH601766,SH600030,SZ000333,SH600674,SH601825,SH601166,SH601298,SH601229,SZ002142,SZ000776,SH603195,SH601009,SH600905,SH601211,SH600926,SH601816,SH600377,SH601377,SH601021,SH601225,SZ000538,SH600600,SH600941,SZ002352,SH600061,SZ300059,SH600050,SH601006,SZ001965,SZ000651,SH600025,SH601881,SH601901,SH600000,SZ000425,SH601728,SH601456,SH600795,SZ000166,SH601077,SH600029,SH601995,SH601998,SH601288,SH600886,SH601878,SH601618,SZ300999,SZ002236,SZ003816,SH601788,SZ300832,SH600019,SH601058,SH600660,SH601919,SH600958,SH688271,SZ000100,SZ001391,SH601088,SZ002625,SH601059,SZ002422,SH601318,SH601111,SH603369,SH600031,,,,,,,,,,-0.004650377202779055,0.009655595,0.02,-0.004690377202779055,0.9938044112639474,1.0054317,1.0117863756949683,-0.017772491173020235
9,2026-06-16,SH601916,SH601985,SH601818,SH600900,SH600036,SH601169,SH600016,SH601766,SH601838,SH601229,SZ000001,SH601668,SH600015,SH601186,SH600919,SH600018,SH601328,SH601166,SH600674,SH601377,SH601939,SH600999,SZ000538,SH601607,SZ300832,SH601688,SZ000776,SH601658,SH601988,SH600000,SH600926,SH601398,SH601618,SH600050,SH600905,SH600025,SH601825,SH600690,SH600030,SH601006,SH600377,SZ000166,SZ000333,SH603195,SZ001965,SH601009,SH600795,SZ001391,SH601211,SH600061,SZ002142,SH601995,SH600887,SH601058,SH601225,SH601077,SZ002236,SH601878,SH600941,SH601881,SH601901,SH601288,SH601998,SH601728,SH601816,SZ002422,SH600886,SZ003816,SZ000651,SH601021,SH688271,SH601318,SH601919,SZ300999,SH600029,SH600600,SZ000100,SH600019,SZ002352,SH601788,SH601456,SH601088,SZ002625,SH601059,SH600958,SH600660,SH603369,SH601111,SZ300059,SH601298,SH601336,,,,,,,,,,-0.02561004087328911,0.002070427,0.02,-0.025650040873289107,0.968313287494972,1.0075133,1.0117863756949683,-0.042966666921301265
